LINE,END_WORD
"And I don't give a fuck if you don't like it, yeah, yeah",yeah
Just to show you that it's over,over
"It don't matter what you gotta say about it, yeah",yeah
I'ma put that bitch pussy in a motherfuckin' bodybag,bodybag
So you know that I'm never ever coming back,back
You kept your heart on the counter in a Prada bag,bag
"I used to never ever want to see the light of day, yeah",yeah
I was an idiot,idiot
Beggin' on my knees onto the floor,floor
"Now, I don't even want you anymore, anymore",anymore
It's over now,now
"It's over now, yeah, yeah, yeah, ayy",ayy
"Feels like a knife in my throat, you treat this like it's a joke",joke
"I bet you've done this before, I ain't surprised, yeah",yeah
"I wasn't tryna let go, but you'll know why when I'm ghost",ghost
"I hope you wind up alone, dead in my eyes, yeah",yeah
"Ain't religious, only Christian when it's Dior",dior
Only prayin' for the Amex and the gold,gold
"You ain't stop me, no, you only was a detour",detour
"Tried to drive me crazy, you ran out of road",road
"Watch how everything is gonna change (Is gonna change), yeah, ayy",ayy
"And I don't give a fuck if you don't like it, yeah, yeah (I don't give a fuck)",fuck
"It don't matter what you gotta say about it, yeah (What you gotta say about it)",it
I'ma put that bitch pussy in a motherfuckin' bodybag (In a bodybag),bodybag
So you know that I'm never ever coming back (Never coming back),back
You kept your heart on the counter in a Prada bag (In a Prada bag),bag
Beggin' on my knees on to the floor (To the floor),floor
"Now I don't even want you anymore, anymore",anymore
"Damn, my AP goin' psycho, lil' mama bad like Michael",michael
Can't really trust nobody with all this jewelry on you,you
"My roof look like a no-show, got diamonds by the boatload",boatload
Come with the Tony Romo for clowns and all the bozos,bozos
"My AP goin' psycho, lil' mama bad like Michael",michael
"Don't act like you my friend when I'm rollin' through my ends, though",though
"You stuck in the friend zone, I tell that four-five the fifth, ayy",ayy
"Hunnid bands inside my shorts, DeChino the shit, ayy",ayy
"Try to stuff it all in, but it don't even fit, ayy",ayy
"Know that I been with the shits ever since a jit, ayy",ayy
"I made my first million, I'm like, ""Shit, this is it,"" ayy",ayy
"30 for a walk through, man, we had that bitch lit, ayy",ayy
"Had so many bottles, gave ugly girl a sip",sip
"Out the window of the Benzo, we get seen in the rent'",rent
"And I'm like ""Whoa, man, my neck so goddamn cold""",cold
"Diamonds wet, my t-shirt soaked",soaked
"I got homies, let it go, oh",oh
"My money thick, won't ever fold",fold
"She said, ""Can I have some to hold?""",hold
And I can't ever tell you no,no
"The AP goin' psycho, my Rollie goin' brazy",brazy
"I'm hittin' lil' mama, she wanna have my babies",babies
"It's fifty on the pinky, chain so stanky",stanky
"You should see the whip, promise I can take yo' bitch",bitch
"Dolla ridin' in an old school Chevy, it's a drop top",top
"Boolin' with a thot-thot, she gon' give me top-top",toptop
"Just one switch, I can make the ass drop (hey)",hey
"Uh, take you to the smoke shop",shop
"We gon' get high, ayy, we gon' hit Rodeo",rodeo
"Dial up Valentino, we gon' hit Pico",pico
"Take you where I'm from, take you to the slums",slums
"This ain't happen overnight, no, these diamonds real bright",bright
"Saint Laurent jeans, still in my Vans though",though
"All VVSs, put you in a necklace",necklace
