LINE,END_WORD
Nepal nigeria,nigeria
Ethiopia north k,k
Myanmar panama,panama
Philippines nicaragua,nicaragua
Palestine and greece,greece
Peru and france,france
It's so simple do the dance,dance
Oi oi oi oi oi oi oi,oi
Iano inna iano ina,ina
Pretty raw,raw
Get to the floor,floor
Came up listening to war war,war
Weekend trips to singapore,singapore
Preach like a priest,priest
I sing like a whore,whore
Do you want more?,more
Do you know what I got in store?,store
Immina immina thana thana,thana
Ingana ingana giiina giiina,giiina
I'm ice cream,cream
And you're so bait,bait
They got guns but it points the wrong way,way
Yeah I'm on it they cirque de soleil,soleil
They make big sounds with nothing to say,say
School of fakeness,fakeness
I'm school of hard knocks,knocks
You're here to fool us,us
I'm here to take shots,shots
"Look-alike, copycat",copycat
"Doppleganger, fraud",fraud
They ain't got nothing on me,me
Now I'm getting bored,bored
If your gonna be me you need a manifesto,manifesto
If you ain't got one you better get one presto,presto
Yeah you got money we sell bootlegs only,only
When the shit counts our numbers way plenty,plenty
We started at the bottom but drake gets all the credit,credit
Paper route or life route yeah we be ready,ready
Iano inna iano inabug spray bug spray bug spray,spray
