LINE,END_WORD
"You mad, doggie? You mad, doggie?",doggie
(Next stop: New York),york
"Hahaha, lrrr!",lrrr
"Whatever you say, Mrs. Majesty (oh, oh)",oh
"Whatever you want, you can have from me (oh, oh)",oh
"I want your love, just lead me on",on
"Won't give it up, hey, hey, hey, hey",hey
'Cause I'm a sucker for ya,ya
Boom shang-a-lang-a-lang,shang-a-lang-a-lang
"Uh, uh, yo, I got the money and the power now",now
The G5'll get me out there in an hour now,now
"The MAC movin' like crack, I'm sellin' powder now",now
"G-game over, locker room, hit them showers now",now
I got the trophies and the catalogue,catalogue
"Just did a deal, Mercedes-Benz, check the catalogue",catalogue
"I'm buyin' buildings, we don't buy the blogs",blogs
"The Nicki challenge when I fly to Prague, uh",uh
'Cause I'm a sucker for you,you
"Uh, yo, who want it with Nicki now?",now
I smoke 'em like hippies now,now
"They see me, say, ""Yippie,"" now",now
Homes runnin' like Griffey now,now
They switchin' like sissies now,now
You niggas is iffy now,now
Bitches tune switchin' up,up
We take 'em to Jiffy now,now
I'm thicker than peanut butter,butter
He nuttin' like Skippy now,now
He want me to be his wife,wife
"His misses like sippy now, uh",uh
She invites me to the condo,condo
"Uh-oh, wifey's in Chicago (oh, oh)",oh
"My side peace, but she's also someone's wife",wife
So time we spend is borrowed,borrowed
"But it's our moment right here, fuck tomorrow",tomorrow
'Cause moments like these are to die for and she's clear all,all
Nice and easy as hair when I'm bleaching it blonde,blonde
So we got that lightning in a bottle,bottle
"She's tipsy, I'm sober",sober
So she gets a chip on her shoulder,shoulder
"Sits on the sofa, I go to load a",a
Slick Rick song or throw some Souls of Mischief on,on
"She goes, ""All that old school hip-hop is over",over
"Think that shit's got pneumonia""",pneumonia
"I told her, ""Bitch, now, just hold up!""",up
That's why rap needs a doctor,doctor
Our genre's lymph nodes are swole up,up
It's time to check it for strep or some tonsillitis,tonsillitis
'Cause like what they swab you with when your throat hurts,hurts
"That's why Tribe is so vital, we need Q-Tip for the culture",culture
Speed it up a little bit!,bit
You ain't dealin' with a fuckin' featherweight,featherweight
I used to medicate until I'd get a fuckin' bellyache,bellyache
"And now I'm finna step on the pedal, don't wanna ever brake",brake
I wanna accelerate to a level that I can elevate,elevate
