LINE,END_WORD
"Uh, picked up where we left off",off
"Uh, I need you home when I get off",off
"Uh, you know I need that wet mouth",mouth
"Uh, I know you need that reptile",reptile
"Uh, she cut from a different textile",textile
"Uh, she love different kinds of sex now",now
"Uh, black girl sippin' white wine",wine
Put my fist in her like a civil rights sign,sign
And grabbed it with a slight grind,grind
And held it 'til the right time,time
Then she came like AAAAAHHH,AAAAAHHH
Bitch I'm back out my coma,coma
Wakin' up on your sofa,sofa
When I park my Range Rover,Rover
Slightly scratch your Corolla,Corolla
"Okay, I smashed your Corolla",Corolla
I'm hangin' on a hangover,hangover
Five years we been over,over
Ask me why I came over,over
One more hit and I can own ya,ya
One more fuck and I can own ya,ya
One cold night in October,October
Pussy had me floatin',floatin
Feel like Deepak Chopra,Chopra
Pussy had me dead,dead
Might call 2Pac over,over
Yeezy's all on your sofa,sofa
These the Red Octobers,Octobers
Still ain't learn me no manners,manners
You love me when I ain't sober,sober
You love me when I'm hungover,hungover
Even when I blow doja,doja
Then her auntie came over,over
Skinny bitch with no shoulders,shoulders
Tellin' you that I'm bogus,bogus
Bitch you don't even know us,us
"Baby girl, he's a loner
Baby girl, he's a loner
Late-night organ donor
After that, he disown ya
After that he's just hopeless
Soul mates become soulless
When it's over it's over",over
"And bitch, I'm back out my coma",coma
"Yeezy, Yeezy, Yeezy, I feel so accomplished",accomplished
I done talked a lot of shit but I just did the numbers,numbers
"Herzog and Adidas, man you know they love it",it
"If Nike ain't have Drizzy, man they wouldn't have nothin', woo",woo
"If Nike ain't have Don C, man they wouldn't have nothin', ooh",ooh
"But I'm all for the family, tell 'em, Get your money",money
"Yeezy, Yeezy, Yeezy, they line up for days",days
"Nike out here bad, they can't give shit away",away
"I stuck to my roots, I'm like Jimmy Fallon",Fallon
I ain't dropped the album but the shoes went platinum Woo,Woo
Every time I talk they say I'm too aggressive,aggressive
"I was out here spazzin', all y'all get the message",message
"On the field I'm over-reckless, on my Odell Beckham",Beckham
"2020, I'ma run the whole election, yah",yah
"I've been trending years, y'all a couple days",days
Yeezy in the house and we just got appraised,appraised
"Nike, Nike treat employees just like slaves",slaves
Gave LeBron a billi' not to run away Yo,Yo
"10 thousand dollar fur for Nori, I just copped it Yo",Yo
Your baby daddy won't even take your daughter shoppin' Yo,Yo
I done wore designers I won't wear again,again
"Make 'em niggas famous, they get arrogant",arrogant
"Yeezy, Yeezy, Yeezy, this is pure luxury",luxury
"I give 'em Grey Poupon on a DJ Mustard, ah",ah
If you ain't poppin' shit then why you rap for Haaan,Haaan
"Plus Kimoji just shut down the app store, ah",ah
"And we made a million a minute, we made a million a minute",minute
"Yeah, we made a million a minute, we made a million a minute, ah",ah
Do anybody feel bad for Bill Cosby,Cosby
Did he forget the names just like Steve Harvey Yo,Yo
Tell Adidas that we need a million in production Yo,Yo
"I done told y'all, all I needed was the infrastructure Boom",Boom
"Now we hottest in the streets, it ain't no discussion",discussion
"James Harden, Swaggy P runnin' up the budget Yoga flame",flame
Keep the work at my baby mama's mama's house,house
"I'm a jerk, you need to work, you need to call my spouse",spouse
"Yeezy, Yeezy, take a picture with me on Rodeo",Rodeo
"Yeezy, Yeezy, Yeezy, I might do my own hotel",hotel
"Couches, couches, couches, couches, which one should I pick",pick
"I need extra deep, I like my bitches extra thick sonic boom",boom
"Every time I see the news, man it bring me home",home
"Call up DJ Mano, shout out Twilite Tone",Tone
"We just blessed to be alive, yeah ain't that the truth",truth
So let's celebrate the life of Timbuck2,Timbuck2
"Timbuck2, Timbuck2",Timbuck2
"I’m living in that 21st Century, doing something mean to it",it
Do it better than anybody you ever seen do it,it
"Screams from the haters, got a nice ring to it",it
I guess every superhero need his theme music,music
No one man should have all that power,power
"The clock’s ticking, I just count the hours",hours
"Stop tripping, I’m tripping off the power",power
21st-Century schizoid man,man
"The system broken, the school is closed, the prison's open",open
"We ain’t got nothing to lose, motherfucker we rolling",rolling
Huh Motherfucker we rolling,rolling
With some light-skinned girls and some Kelly Rowlands,Rowlands
"In this white man world, we the ones chosen",chosen
"So goodnight, cruel world, I’ll see you in the morning",morning
Huh I’ll see you in the morning,morning
"This is way too much, I need a moment",moment
Fuck SNL and the whole cast,cast
Tell them Yeezy said they can kiss my whole ass,ass
More specifically they can kiss my asshole,asshole
I’m an asshole You niggas got jokes,jokes
You short-minded niggas thoughts is Napoleon,Napoleon
"My furs is Mongolian, my ice brought the goalies in",in
And I embody every characteristic of the egotistic,egotistic
"He knows, he’s so fucking gifted",gifted
I just needed time alone with my own thoughts,thoughts
Got treasures in my mind but couldn’t open up my own vault,vault
"My childlike creativity, purity and honesty",honesty
Is honestly being crowded by these grown thoughts,thoughts
Reality is catching up with me,me
"Taking my inner child, I’m fighting for custody",custody
With these responsibilities that they entrusted me,me
As I look down at my diamond encrusted piece,piece
"Colin Powells, Austin Powers",Powers
Lost in translation with a whole fucking nation,nation
They say I was the abomination of Obama’s nation,nation
Well that’s a pretty bad way to start the conversation,conversation
"At the end of the day, god damn it I’m killing this shit",shit
I know damn well y’all feeling this shit,shit
"I don’t need your pussy, bitch, I’m on my own dick",dick
"I ain’t gotta power trip, who you going home with",with
How Ye doing I’m surviving,surviving
"I was drinking earlier, now I’m driving",driving
"Where the bad bitches, huh Where you hiding",hiding
I got the power to make your life so exciting,exciting
"Dinner with Anna Wintour, racing with Anja Rubik",Rubik
I told you motherfuckers it was more than the music,music
"In the projects one day, to Project Runway",Runway
"We done heard all that loud-ass talking, we're used to it",it
"I'm from where shorties fucked up, double-cupped up",up
Might even kill somebody and YouTube it,it
To whoever think their words affect me is too stupid,stupid
"And if you can do it better than me, then you do it",it
"We flyer than a parakeet, floatin' with no parachute",parachute
"Six thousand dollar pair of shoes, we made it to the Paris news",news
Don't talk about style cause I embarrass you,you
Shut the fuck up when you talk to me 'fore I embarrass you,you
And the whole industry want to fuck your old chick,chick
Only nigga I got respect for is Wiz,Wiz
"And I'll admit, I had fell in love with Kim",Kim
Around the same time she had fell in love with him,him
"Well that's cool, baby girl, do ya thang",thang
Lucky I ain't had Jay drop him from the team,team
"La Familia, Roc Nation",Nation
"We in the building, we still keep it basement",basement
"Flyer than a parakeet, floatin' with no parachute",parachute
"Six thousand dollar pair of shoes, I made it to the Paris news",news
Don't talk about style cause I'll embarrass you,you
"GOOD Music, we fresh, we fresh",fresh
"Anything else, we detest, detest",detest
Bitch-ass niggas got ass and breasts,breasts
"All that said, let me ask this question",question
I believe there's a God above me,me
I'm just the God of everything else,else
I put holes in everything else,else
"New God Flow, fuck everything else",else
"Supreme dope dealer, write it in bold letters",letters
They love a nigga's spirit like Pac at the Coachella,Coachella
They said Pusha ain't fit with the umbrella,umbrella
But I was good with the yay as a wholesaler,wholesaler
I think it’s good that 'Ye got a blow dealer,dealer
"A hot temper, matched with a cold killer",killer
I came aboard for more than just to rhyme with him,him
"Think ’99, when Puff woulda had Shyne with him, yuugh",yuugh
